reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
1d7985b1-f52e-4d02-98ee-4c4ea4582895,Rakib Hasan,https://play-lh.googleusercontent.com/a/AATXAJx3-Q_QIy8_m-49_kD9gxRHLOAv1QmRWQdMRGy_=mo,anamul,1,0,,2022-06-21 21:50:47,,,newest,com.facebook.lite
0b711cc7-0263-42f0-9bf4-debc1c34d4c7,Fuad. Fan.n,https://play-lh.googleusercontent.com/a-/AOh14Gg4QP2yKjL2ubKQFM0EuLZO8bnS0ItcMub-RkPd,Hargeisa,1,1,308.0.0.10.108,2022-06-21 21:48:12,,,newest,com.facebook.lite
99263358-260e-49c8-9606-febec4f923e8,Emon Khan,https://play-lh.googleusercontent.com/a/AATXAJzvOnZ4cZZs1nq_Au7wQAW3szCKZDcJh5XtHCLq=mo,Automatically Gmail account login is not working,1,0,181.0.0.4.118,2022-06-21 21:17:59,,,newest,com.facebook.lite
c3e4b0ce-0666-47e0-bc83-d329307f82b6,Asami Maria,https://play-lh.googleusercontent.com/a/AATXAJyQICYyX3R9gLLton0J4VKXiZ3Ia2IMaAjNeLZm=mo,I can't even use it,1,0,,2022-06-21 21:15:58,,,newest,com.facebook.lite
fe29d83a-3986-4130-93fb-b3c4f8d44689,Fire Rescue,https://play-lh.googleusercontent.com/a-/AOh14GhbuzKQNVo7N9wvwewV4543T-b6WbrLWp_-Es_mKQ,১১১,1,0,307.0.0.9.109,2022-06-21 21:09:29,,,newest,com.facebook.lite
41a690e6-dacc-4241-a49d-cb7ecd29f84e,Mbongeni Ntai,https://play-lh.googleusercontent.com/a/AATXAJx3s8hSX0hUk1ZxYQdqcGvsFaPnywlOBvvsN_ko=mo,"It doesn't work nicely,it just jams",1,0,281.0.0.13.111,2022-06-21 21:05:59,,,newest,com.facebook.lite
7a328f6c-a17f-487a-8874-ffddc62fc5e0,John Johnson,https://play-lh.googleusercontent.com/a-/AOh14GgdNblM8kySZviYdJwEQge3CHhBS1E1atemwGbN,"Faster app, let everyone Get use of it",1,0,286.0.0.5.105,2022-06-21 21:04:06,,,newest,com.facebook.lite
5d8b0fcf-5755-4da7-9ba2-dca1f52651cf,Ajibola victor,https://play-lh.googleusercontent.com/a/AATXAJzkjGvUiL-Fp2ZMYxf0RWQPHN0TCP1ZnMa1JVZ_=mo,l need sub pls,1,0,,2022-06-21 20:42:33,,,newest,com.facebook.lite
f2356597-8b6c-42e4-a072-ca58d89e400d,Sandra Osei tutu,https://play-lh.googleusercontent.com/a/AATXAJyYP-Aq9SL9Pty89eA7Z73r4wYmtIxp5GzHgUui=mo,Gud,1,0,294.0.0.12.118,2022-06-21 20:34:35,,,newest,com.facebook.lite
19e4f830-3f0a-408e-87e4-95132700fc34,Nannyombi,https://play-lh.googleusercontent.com/a/AATXAJwrp0VyDWFheYPtU-FfpR-HQt3CRckGmDcqoEp5=mo,My lite doesn't work,1,1,308.0.0.10.108,2022-06-21 20:28:59,,,newest,com.facebook.lite
